proto,file,bytes,run,elapsed_s,wire_bytes,overhead_pct,goodput_Mbps
TFTP,f_4k.bin,4096,1,0.47,53337,1202.17,0.07
TFTP,f_4k.bin,4096,2,0.42,18233,345.14,0.078
TFTP,f_4k.bin,4096,3,0.40,18409,349.44,0.082
TFTP,f_4k.bin,4096,4,0.43,18849,360.18,0.076
TFTP,f_4k.bin,4096,5,0.42,18407,349.39,0.078
sTFTP_DH,f_4k.bin,4096,1,1.23,122903,2900.56,0.027
sTFTP_DH,f_4k.bin,4096,2,1.18,35071,756.23,0.028
sTFTP_DH,f_4k.bin,4096,3,1.19,35041,755.49,0.028
sTFTP_DH,f_4k.bin,4096,4,1.20,36850,799.66,0.027
sTFTP_DH,f_4k.bin,4096,5,1.20,35389,763.99,0.027
SFTP_cold,f_4k.bin,4096,1,6.88
NA,51123,1148.12,0.005
TFTP,f_32k.bin,32768,1,0.41,81000,147.19,0.639
TFTP,f_32k.bin,32768,2,0.43,80874,146.81,0.61
TFTP,f_32k.bin,32768,3,0.44,81298,148.1,0.596
TFTP,f_32k.bin,32768,4,0.42,81803,149.64,0.624
TFTP,f_32k.bin,32768,5,0.43,87309,166.45,0.61
sTFTP_DH,f_32k.bin,32768,1,1.21,169985,418.75,0.217
sTFTP_DH,f_32k.bin,32768,2,1.21,169428,417.05,0.217
sTFTP_DH,f_32k.bin,32768,3,1.23,169512,417.31,0.213
sTFTP_DH,f_32k.bin,32768,4,1.21,169883,418.44,0.217
sTFTP_DH,f_32k.bin,32768,5,1.22,169789,418.15,0.215
SFTP_cold,f_32k.bin,32768,1,13.95
NA,41583,26.9,0.019
TFTP,f_2m.bin,2097152,1,1.56,4588451,118.79,10.755
TFTP,f_2m.bin,2097152,2,1.40,4589610,118.85,11.984
TFTP,f_2m.bin,2097152,3,1.33,4603767,119.52,12.614
TFTP,f_2m.bin,2097152,4,1.41,4595023,119.11,11.899
TFTP,f_2m.bin,2097152,5,1.36,4588561,118.8,12.336
sTFTP_DH,f_2m.bin,2097152,1,3.84,9787183,366.69,4.369
sTFTP_DH,f_2m.bin,2097152,2,3.55,9785505,366.61,4.726
sTFTP_DH,f_2m.bin,2097152,3,3.55,9785303,366.6,4.726
sTFTP_DH,f_2m.bin,2097152,4,3.52,9821180,368.31,4.766
sTFTP_DH,f_2m.bin,2097152,5,3.65,9785809,366.62,4.596
SFTP_cold,f_2m.bin,2097152,1,5.74
NA,26819,-98.72,2.923
