proto,file,bytes,run,elapsed_s,wire_bytes,overhead_pct,goodput_Mbps
TFTP,f_4k.bin,4096,1,0.52,25853,531.18,0.063
sTFTP_DH,f_4k.bin,4096,1,1.18,35629,769.85,0.028
TFTP,f_4k.bin,4096,2,0.44,18281,346.31,0.074
sTFTP_DH,f_4k.bin,4096,2,1.21,35605,769.26,0.027
TFTP,f_4k.bin,4096,3,0.46,18317,347.19,0.071
sTFTP_DH,f_4k.bin,4096,3,1.24,35967,778.1,0.026
TFTP,f_4k.bin,4096,4,0.40,18049,340.65,0.082
sTFTP_DH,f_4k.bin,4096,4,1.22,56545,1280.49,0.027
TFTP,f_4k.bin,4096,5,0.43,18317,347.19,0.076
sTFTP_DH,f_4k.bin,4096,5,1.20,35317,762.23,0.027
TFTP,f_32k.bin,32768,1,0.41,81000,147.19,0.639
sTFTP_DH,f_32k.bin,32768,1,1.26,169108,416.08,0.208
TFTP,f_32k.bin,32768,2,0.43,81448,148.56,0.61
sTFTP_DH,f_32k.bin,32768,2,1.22,168970,415.66,0.215
TFTP,f_32k.bin,32768,3,0.41,83270,154.12,0.639
sTFTP_DH,f_32k.bin,32768,3,1.26,182096,455.71,0.208
TFTP,f_32k.bin,32768,4,0.44,87568,167.24,0.596
sTFTP_DH,f_32k.bin,32768,4,1.23,169718,417.94,0.213
TFTP,f_32k.bin,32768,5,0.43,80814,146.62,0.61
sTFTP_DH,f_32k.bin,32768,5,1.22,169049,415.9,0.215
TFTP,f_2m.bin,2097152,1,1.55,4590797,118.91,10.824
sTFTP_DH,f_2m.bin,2097152,1,3.50,9794558,367.04,4.793
TFTP,f_2m.bin,2097152,2,1.44,4612004,119.92,11.651
sTFTP_DH,f_2m.bin,2097152,2,3.28,9805465,367.56,5.115
TFTP,f_2m.bin,2097152,3,1.39,4602353,119.46,12.07
sTFTP_DH,f_2m.bin,2097152,3,3.48,9786058,366.64,4.821
TFTP,f_2m.bin,2097152,4,1.37,4594539,119.08,12.246
sTFTP_DH,f_2m.bin,2097152,4,3.44,9784215,366.55,4.877
TFTP,f_2m.bin,2097152,5,1.41,4587715,118.76,11.899
sTFTP_DH,f_2m.bin,2097152,5,4.11,9786324,366.65,4.082
